Item,Qty,Unit Cost,Total Cost,
PCB + PCBA,1,37.02,37.02,https://user-cdn.hackclub-assets.com/019ec03b-e187-7697-af22-933ac9d2341e/Screenshot%202026-06-13%20at%205.01.44%E2%80%AFPM.png
Speaker,1,2.3,2.3,https://shopee.sg/Stat-2Pcs-Notebook-Speaker-2030-Oval-Loudspeaker-8%CE%A9-1W-Black-Speaker-2-2-kHz-Frequency-Response-Wired-DIY-Accessory-i.110641297.24802861026?extraParams=%7B%22display_model_id%22%3A250076347282%2C%22model_selection_logic%22%3A3%7D&sp_atk=6ad6e27a-c774-49f2-a037-cc04a2b6b14a&xptdk=6ad6e27a-c774-49f2-a037-cc04a2b6b14a
SS-5GL,1,1.6,1.6,https://shopee.sg/1PCS-Microswitch-SS-5-SS-5GL-SS-5GL2-SS-5GL13-SS-5GL-F-SS-5GL2-F-SS-5-F-SS-10GL-SS-01GL13-SS-5GL111-Switch-i.889094752.18895938902?extraParams=%7B%22display_model_id%22%3A250095595431%2C%22model_selection_logic%22%3A3%7D&sp_atk=67b2d27e-e993-4964-acf6-19a2949c651d&xptdk=67b2d27e-e993-4964-acf6-19a2949c651d
Seeed Xiao RP2040,1,3.71,3.71,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html
,,,0,
,,,0,
,,,0,
,,,0,
,,,0,
,,,0,
,,,0,
,,,0,
,,,0,
,,,0,
,,,0,
Total,,,44.63,
